STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,_source_file,validation_flag,quality_flag
72530094846,4/28/2021,41.96017,-87.93164,204.8,CHICAGO OHARE INTERNATIONAL AIRPORT - IL US,52.3,24,43.7,24,1009.7,19,986.4,22,9.5,24,8.8,24,17.1,999.9,9999.9, ,46.4,*,0.0,G,999.9,10000,chicago/72530094846_2021.csv,FAIL_MISSING_MAX_TEMP,
70261026411,1/6/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-33.3,24,9999.9,0,1019.6,19,0.6,24,6.6,24,0.0,24,999.9,999.9,-26.0, ,-38.0, ,0.0,G,13.0,1000,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP | FAIL_MISSING_MXSPD,FLAG_ANOMALY_STP
70261026411,1/7/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-35.7,24,9999.9,0,1021.1,23,2.1,24,6.4,24,0.0,24,2.9,999.9,-29.9, ,-38.9, ,0.0,G,13.0,0,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,1/8/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-26.8,24,9999.9,0,1022.9,23,4.1,24,8.5,24,0.5,24,2.9,999.9,-11.0, ,-38.9, ,0.0,G,13.0,1000,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,1/12/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-38.5,24,9999.9,0,1018.2,17,999.3,21,3.3,24,0.4,24,4.1,999.9,-23.1,*,-43.6,*,0.01,G,13.0,0,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP,
70261026411,12/21/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-31.8,24,9999.9,0,1009.8,24,991.0,24,9.6,24,0.5,24,2.9,999.9,-23.1, ,-35.0, ,0.0,G,13.0,1000,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP,
70261026411,12/22/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-31.7,24,9999.9,0,1011.8,24,993.1,24,10.0,24,0.5,24,4.1,999.9,-29.9, ,-35.0, ,0.0,G,13.0,101000,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP,
70261026411,12/28/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-22.3,24,9999.9,0,1004.4,17,985.1,24,6.4,24,5.4,24,13.0,999.9,-9.0, ,-40.0, ,0.0,G,15.0,1000,fairbanks/70261026411_2019.csv,FAIL_MISSING_DEWP,
70261026411,1/4/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-30.0,24,-33.0,10,1009.1,24,990.5,24,9.4,24,0.0,24,999.9,999.9,-22.0,*,-33.0,*,0.0,G,16.1,1000,fairbanks/70261026411_2020.csv,FAIL_MISSING_MXSPD,FLAG_SPARSE_DEWP_OBSERVATIONS
70261026411,1/8/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-37.1,24,9999.9,0,1026.2,19,7.4,24,3.5,24,0.1,24,2.9,999.9,-25.1, ,-43.1, ,0.01,G,16.1,101000,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,1/9/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-39.5,24,9999.9,0,1028.6,17,10.0,24,2.2,24,0.6,24,6.0,999.9,-34.1, ,-43.1, ,0.0,G,16.1,1000,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,1/10/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-36.7,24,9999.9,0,1027.3,24,8.1,24,10.0,24,0.7,24,4.1,999.9,-29.0, ,-43.1, ,0.0,G,16.1,0,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,1/11/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-32.3,24,9999.9,0,1028.4,24,9.3,24,10.0,24,1.1,24,4.1,999.9,-26.0, ,-40.0, ,0.0,G,16.1,100000,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,1/23/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-12.1,24,-19.2,24,1011.8,24,993.6,24,6.6,24,0.0,24,999.9,999.9,-9.0, ,-18.0, ,0.01,G,18.1,1000,fairbanks/70261026411_2020.csv,FAIL_MISSING_MXSPD,
70261026411,2/2/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-30.2,24,9999.9,0,1021.8,23,3.5,24,9.6,24,1.1,24,4.1,999.9,-15.0, ,-38.0, ,0.0,G,18.9,0,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,2/14/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-29.9,24,9999.9,0,1020.6,24,1.7,24,10.0,24,2.0,24,6.0,999.9,-11.0, ,-42.0, ,0.0,G,24.0,0,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,2/15/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-27.6,24,9999.9,0,1015.2,24,996.5,24,10.0,24,4.3,24,8.0,999.9,-11.0, ,-42.0, ,0.0,G,24.0,0,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,
70261026411,2/16/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-26.8,24,9999.9,0,1018.2,24,999.4,24,10.0,24,2.5,24,7.0,999.9,-9.9, ,-36.9, ,0.0,G,24.0,0,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,
70261026411,2/29/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-22.5,24,-25.3,18,1020.2,24,1.6,24,10.0,24,0.0,24,999.9,999.9,-5.1, ,-36.0, ,0.0,G,20.9,100000,fairbanks/70261026411_2020.csv,FAIL_MISSING_MXSPD,FLAG_ANOMALY_STP
70261026411,3/5/2020,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-27.9,24,9999.9,0,1032.5,24,13.6,24,9.5,24,0.5,24,4.1,999.9,-9.0, ,-41.1, ,0.0,G,26.0,0,fairbanks/70261026411_2020.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,2/20/2021,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-24.5,24,9999.9,0,1002.7,22,985.4,24,8.3,24,2.3,24,7.0,999.9,-6.0,*,-36.9,*,0.02,G,22.8,1000,fairbanks/70261026411_2021.csv,FAIL_MISSING_DEWP,
70261026411,2/22/2021,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-28.8,24,9999.9,0,1005.4,24,986.4,24,9.6,24,0.5,24,5.1,999.9,-13.0, ,-42.0, ,0.0,G,22.0,1000,fairbanks/70261026411_2021.csv,FAIL_MISSING_DEWP,
70261026411,11/16/2021,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,0.2,24,-8.2,24,1019.2,24,1.1,24,8.2,24,0.0,24,999.9,999.9,1.9, ,-11.9, ,0.0,G,3.1,1000,fairbanks/70261026411_2021.csv,FAIL_MISSING_MXSPD,FLAG_ANOMALY_STP
70261026411,12/4/2021,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-32.1,24,9999.9,0,1027.8,24,8.7,24,9.7,24,1.0,24,5.1,999.9,-18.0, ,-36.9, ,0.0,G,5.9,0,fairbanks/70261026411_2021.csv,FAIL_MISSING_DEWP,FLAG_ANOMALY_STP
70261026411,12/14/2021,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-36.6,24,9999.9,0,1015.7,23,996.9,24,7.2,24,0.5,24,4.1,999.9,-29.0, ,-40.0, ,0.0,G,11.0,0,fairbanks/70261026411_2021.csv,FAIL_MISSING_DEWP,
