STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
70261026411,1/1/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,22.1,24,15.9,24,986.1,24,969.1,24,10,24,4.1,24,8,999.9,34, ,10, ,0,G,9.8,0
70261026411,1/2/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,20.4,24,16.2,24,978.5,23,961.9,24,8.1,24,1.6,24,7,999.9,34, ,8.1, ,0,G,9.8,1000
70261026411,1/3/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,8.5,24,3.1,24,1006.1,18,987.8,24,6.5,24,4.6,24,8,17.1,27, ,-17, ,0.15,G,9.8,1000
70261026411,1/4/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-21.9,24,-29,24,1015.1,24,996.8,24,10,24,0.9,24,5.1,999.9,-13,*,-27,*,0,G,13,0
70261026411,1/5/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-29.1,24,-36.1,14,1016.6,24,997.8,24,8.5,24,0.5,24,4.1,999.9,-16.1, ,-34.1, ,0,G,13,1000
70261026411,1/6/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-33.3,24,9999.9,0,1019.6,19,0.6,24,6.6,24,0,24,999.9,999.9,-26, ,-38, ,0,G,13,1000
70261026411,1/7/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-35.7,24,9999.9,0,1021.1,23,2.1,24,6.4,24,0,24,2.9,999.9,-29.9, ,-38.9, ,0,G,13,0
70261026411,1/8/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-26.8,24,9999.9,0,1022.9,23,4.1,24,8.5,24,0.5,24,2.9,999.9,-11, ,-38.9, ,0,G,13,1000
70261026411,1/9/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-11.6,24,-18.6,24,1020,22,1.4,24,6.6,24,0.5,24,5.1,999.9,-2.9, ,-35, ,0.01,G,11.8,1000
70261026411,1/10/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-15.7,24,-22.9,24,1016.1,22,997.8,24,3.6,24,2.6,24,6,999.9,-2.9, ,-25.1, ,0.07,G,11.8,1000
70261026411,1/11/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-29.6,24,-34.3,13,1013.4,21,994.7,24,4.3,24,0.3,24,4.1,999.9,-11, ,-36, ,0.02,G,13,1000
70261026411,1/12/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-38.5,24,9999.9,0,1018.2,17,999.3,21,3.3,24,0.4,24,4.1,999.9,-23.1,*,-43.6,*,0.01,G,13,0
70261026411,1/13/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-13.1,24,-20.8,24,1011.8,24,993.4,24,10,24,3.3,24,7,999.9,-4,*,-24,*,0,G,13,0
70261026411,1/14/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-2.9,24,-9,24,1015,24,997,24,10,24,1.5,24,8,999.9,3, ,-18, ,0,G,13,0
70261026411,1/15/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-10.4,24,-16.6,24,1017.3,24,999.2,24,10,24,1.1,24,4.1,999.9,3, ,-17, ,0,G,13,0
70261026411,1/16/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-14.2,24,-20.6,24,1015.1,24,996.8,24,10,24,1.1,24,6,999.9,-7.1, ,-18.9, ,0,G,13,0
70261026411,1/17/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-10.1,24,-16.2,24,1013.8,24,995.6,24,10,24,1.9,24,8,999.9,-0.9, ,-18.9, ,0,G,13,0
70261026411,1/18/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-14.7,24,-21.5,24,1013.5,24,995.1,24,9.5,24,0.5,24,4.1,999.9,-0.9, ,-20.9, ,0,G,13,1000
70261026411,1/19/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-0.9,24,-7,24,1013.9,19,995.8,24,5.8,24,0.2,24,4.1,999.9,1.4,*,-4,*,0.04,G,14.2,1000
70261026411,1/20/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-3.5,24,-9.7,24,1016.3,23,998.3,24,9.4,24,0.2,24,4.1,999.9,1, ,-8, ,0.02,G,14.2,1000
70261026411,1/21/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-9.3,24,-15.4,24,1013.5,24,995.5,24,10,24,2.5,24,8.9,999.9,-0.9, ,-23.1, ,0,G,14.2,1000
70261026411,1/22/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-10.2,24,-16.7,24,1013.9,24,995.7,24,10,24,5.4,24,8,999.9,-2.9, ,-23.1, ,0,G,14.2,0
70261026411,1/23/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-1.7,24,-7.7,24,1009.8,24,991.8,24,10,24,2,24,7,999.9,12, ,-16.1, ,0,G,14.2,0
70261026411,1/24/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,6.9,24,1.7,24,1006.7,24,989,24,10,24,0.9,24,6,999.9,18, ,-9, ,0,G,14.2,0
70261026411,1/25/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,15,24,10,24,997.4,24,979.9,24,9.8,24,1.1,24,5.1,999.9,28.9, ,-2.9, ,0,G,14.2,1000
70261026411,1/26/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,23.4,24,19.6,24,1010.9,16,992.3,20,5.2,24,3.1,24,15,999.9,34, ,3, ,0.14,G,14.2,101000
70261026411,1/27/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,7.2,24,2.1,24,1024.1,24,6.2,24,10,24,0.8,24,4.1,999.9,14,*,1.9,*,0,G,16.1,101000
70261026411,1/28/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,15.6,24,11,24,1025.8,24,7.9,24,10,24,1.4,24,5.1,999.9,24.1, ,1, ,0,G,16.1,1000
70261026411,1/29/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,22.6,24,19.2,24,1012.8,20,996.4,24,3.9,24,0.8,24,5.1,999.9,25, ,12.9, ,0.08,G,16.1,1000
70261026411,1/30/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,9.3,24,4.8,24,1010.5,24,992.5,24,9.2,24,2.9,24,7,999.9,25, ,-2.9, ,0.11,G,16.1,101000
70261026411,1/31/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-4.6,24,-11,24,1022.7,24,4.6,24,10,24,4.1,24,17.1,999.9,17.1, ,-23.1, ,0,G,16.9,0
70261026411,2/1/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-17.3,24,-24.5,24,1027.4,24,8.8,24,10,24,2.6,24,11.1,999.9,6.1, ,-26, ,0,G,16.1,0
70261026411,2/2/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,-13.1,24,-20.7,24,1024.2,24,5.8,24,10,24,3.9,24,8.9,999.9,6.1, ,-29, ,0,G,16.1,0
70261026411,2/3/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,0.4,24,-6.5,24,1023.2,22,5.1,24,7.8,24,1.3,24,4.1,999.9,9,*,-11.9,*,0,G,16.1,1000
70261026411,2/4/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,10.3,24,4.8,24,1018.2,21,0.3,24,4.3,24,1.6,24,5.1,999.9,12.9,*,9,*,0.1,G,16.1,1000
70261026411,2/5/2019,64.80309,-147.87606,131.1,FAIRBANKS INTERNATIONAL AIRPORT - AK US,12.5,24,7.8,24,1014.4,22,996.8,24,8.4,24,2.7,24,8.9,999.9,17.1, ,8.1, ,0.01,G,18.1,1000
