STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72202012839,1/1/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,75.8,24,70.8,24,1020.9,24,19.8,24,10,24,8.3,24,14,21,82, ,71.1, ,0,G,999.9,0
72202012839,1/2/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,76,24,68.4,24,1021.1,24,20.1,24,10,24,8.5,24,13,999.9,82, ,71.1, ,0,G,999.9,0
72202012839,1/3/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,77.1,24,72.2,24,1018.5,22,17.5,24,10,24,8.9,24,13,22.9,82.9, ,71.1, ,0,G,999.9,0
72202012839,1/4/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,76.8,24,71.4,24,1016.7,24,15.7,24,9.9,24,6.6,24,14,22.9,84, ,71.1, ,0,G,999.9,0
72202012839,1/5/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,73.9,24,67.4,24,1016.4,22,15.3,24,8.3,24,6.1,24,8.9,15.9,79,*,69.8,*,0.01,G,999.9,10000
72202012839,1/6/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,65.7,24,58.2,24,1019.4,24,18.4,24,10,24,5.2,24,8.9,15.9,79, ,55, ,0,I,999.9,0
72202012839,1/7/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,70.7,24,60.7,24,1021.5,24,20.4,24,10,24,4.4,24,11.1,15,79, ,55, ,0,G,999.9,0
72202012839,1/8/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,71.2,24,61.2,24,1021.5,24,20.5,24,10,24,3.1,24,8.9,999.9,82, ,60.1, ,0,G,999.9,0
72202012839,1/9/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,70.7,24,61.1,24,1019.4,24,18.4,24,10,24,4.4,24,8.9,999.9,82, ,60.1, ,0,G,999.9,0
72202012839,1/10/2019,25.78805,-80.31694,1.4,MIAMI INTERNATIONAL AIRPORT - FL US,61.8,24,41.7,24,1017.6,24,16.6,24,10,24,6.7,24,9.9,17.1,77, ,53.1, ,0,G,999.9,0
